"Trx#","Date","Category","ItemName","Price","Order","Discount","TotalAmount","Type","Pcf","Classification"
"7125","01/28/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Jan-25","Non Alc Bevs"
"45263","01/28/25","Drinks","Pine Apple Juice","50","1","-","50","Actual Sales","Jan-25","Non Alc Bevs"
"45263","01/28/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Jan-25","Non Alc Bevs"
"45275","01/29/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Jan-25","Non Alc Bevs"
"7105","01/30/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Jan-25","Non Alc Bevs"
"22476","01/31/25","Drinks","Royal In Can","50","1","-","50","Actual Sales","Feb-25","Non Alc Bevs"
"4861","01/31/25","Drinks","Coke 2L","150","1","-","150","Actual Sales","Feb-25","Non Alc Bevs"
"4832","01/31/25","Drinks","Coke Zero In Can","50","1","-","50","Actual Sales","Feb-25","Non Alc Bevs"
"4847","01/31/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Feb-25","Non Alc Bevs"
"17591","01/31/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Feb-25","Non Alc Bevs"
"44670","02/01/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Feb-25","Non Alc Bevs"
"44646","02/01/25","Drinks","Coke Zero In Can","50","1","-","50","Actual Sales","Feb-25","Non Alc Bevs"
"44658","02/01/25","Drinks","Bottled Water","30","1","-","30","Actual Sales","Feb-25","Non Alc Bevs"
"44658","02/01/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Feb-25","Non Alc Bevs"
"7008","02/02/25","Drinks","Coke Regular In Can","50","1","-","50","Actual Sales","Feb-25","Non Alc Bevs"
"44186","02/02/25","Drinks","Coke 2L","150","1","-","150","Actual Sales","Feb-25","Non Alc Bevs"
"8207","02/03/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Feb-25","Non Alc Bevs"
"8220","02/03/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Feb-25","Non Alc Bevs"
"36527","02/04/25","Drinks","Coke Zero In Can","50","1","-","50","Actual Sales","Feb-25","Non Alc Bevs"
"36532","02/04/25","Drinks","Coke Mismo","30","2","-","60","Actual Sales","Feb-25","Non Alc Bevs"
"36533","02/04/25","Drinks","Coke Zero In Can","50","2","-","100","Actual Sales","Feb-25","Non Alc Bevs"
"8233","02/05/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Feb-25","Non Alc Bevs"
"8255","02/05/25","Drinks","Coke Regular In Can","50","1","-","50","Actual Sales","Feb-25","Non Alc Bevs"
"8256","02/05/25","Drinks","Coke Zero In Can","50","1","-","50","Actual Sales","Feb-25","Non Alc Bevs"
"8272","02/06/25","Drinks","Coke Regular In Can","50","1","-","50","Actual Sales","Feb-25","Non Alc Bevs"
"8276","02/06/25","Drinks","Coffee Jelly","100","1","-","100","Actual Sales","Feb-25","Non Alc Bevs"
"8285","02/06/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Feb-25","Non Alc Bevs"
"8294","02/06/25","Drinks","Coke Regular In Can","50","1","-","50","Actual Sales","Feb-25","Non Alc Bevs"
"8306","02/07/25","Drinks","Bottled Water","30","2","-","60","Actual Sales","Feb-25","Non Alc Bevs"
"8325","02/07/25","Drinks","Coffee Jelly","100","1","-","100","Actual Sales","Feb-25","Non Alc Bevs"
"8329","02/07/25","Drinks","Coke Regular In Can","50","1","-","50","Actual Sales","Feb-25","Non Alc Bevs"
"8329","02/07/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Feb-25","Non Alc Bevs"
"7089","02/09/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Feb-25","Non Alc Bevs"
"36464","02/10/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Feb-25","Non Alc Bevs"
"36480","02/10/25","Drinks","Coke Regular In Can","50","1","-","50","Actual Sales","Feb-25","Non Alc Bevs"
"7069","02/14/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Feb-25","Non Alc Bevs"
"36450","02/15/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Feb-25","Non Alc Bevs"
"36405","02/15/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Feb-25","Non Alc Bevs"
"36406","02/15/25","Drinks","Coke Regular In Can","50","1","-","50","Actual Sales","Feb-25","Non Alc Bevs"
"41471","02/16/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Feb-25","Non Alc Bevs"
"36493","02/16/25","Drinks","Coffee Jelly","100","1","-","100","Actual Sales","Feb-25","Non Alc Bevs"
"36495","02/16/25","Drinks","Coffee Jelly","100","2","-","200","Actual Sales","Feb-25","Non Alc Bevs"
"47836","02/17/25","Drinks","Bottled Water","30","1","-","30","Actual Sales","Feb-25","Non Alc Bevs"
"40579","02/18/25","Drinks","Coke Regular In Can","50","1","-","50","Actual Sales","Feb-25","Non Alc Bevs"
"40608","02/18/25","Drinks","Coffee Jelly","100","1","-","100","Actual Sales","Feb-25","Non Alc Bevs"
"40616","02/18/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Feb-25","Non Alc Bevs"
"40643","02/19/25","Drinks","Coke Regular In Can","50","1","-","50","Actual Sales","Feb-25","Non Alc Bevs"
"40643","02/19/25","Drinks","Coke Zero In Can","50","1","-","50","Actual Sales","Feb-25","Non Alc Bevs"
"40645","02/19/25","Drinks","Coke Zero In Can","50","1","-","50","Actual Sales","Feb-25","Non Alc Bevs"
"40657","02/19/25","Drinks","Coffee Jelly","100","2","-","200","Actual Sales","Feb-25","Non Alc Bevs"
"40627","02/19/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Feb-25","Non Alc Bevs"
"40671","02/20/25","Drinks","Pine Apple Juice","50","1","-","50","Actual Sales","Feb-25","Non Alc Bevs"
"40671","02/20/25","Drinks","Coke 1.5","110","1","-","110","Actual Sales","Feb-25","Non Alc Bevs"
"40670","02/20/25","Drinks","Pine Apple Juice","50","1","-","50","Actual Sales","Feb-25","Non Alc Bevs"
"40672","02/20/25","Drinks","Coke Regular In Can","50","1","-","50","Actual Sales","Feb-25","Non Alc Bevs"
"7218","02/21/25","Drinks","Bottled Water","30","2","-","60","Actual Sales","Feb-25","Non Alc Bevs"
"47623","02/21/25","Drinks","Coffee Jelly","100","1","-","100","Actual Sales","Feb-25","Non Alc Bevs"
"47632","02/21/25","Drinks","Sprite In Can","50","1","-","50","Actual Sales","Feb-25","Non Alc Bevs"
"7211","02/21/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Feb-25","Non Alc Bevs"
"9594","02/22/25","Drinks","Coke Zero In Can","50","1","-","50","Actual Sales","Feb-25","Non Alc Bevs"
"9597","02/22/25","Drinks","Bottled Water","30","1","-","30","Actual Sales","Feb-25","Non Alc Bevs"
"7200","02/22/25","Drinks","Coke Zero In Can","50","1","-","50","Actual Sales","Feb-25","Non Alc Bevs"
"47814","02/23/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Feb-25","Non Alc Bevs"
"40717","02/25/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Feb-25","Non Alc Bevs"
"47656","02/26/25","Drinks","Coke Zero In Can","50","1","-","50","Actual Sales","Feb-25","Non Alc Bevs"
"8621","02/26/25","Drinks","Coffee Jelly","100","1","-","100","Actual Sales","Feb-25","Non Alc Bevs"
"8629","02/26/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Feb-25","Non Alc Bevs"
"47794","02/27/25","Drinks","Bottled Water","30","5","-","150","Actual Sales","Feb-25","Non Alc Bevs"
"47782","02/27/25","Drinks","Royal In Can","50","1","-","50","Actual Sales","Feb-25","Non Alc Bevs"
"37636","02/28/25","Drinks","Royal In Can","50","1","-","50","Actual Sales","Mar-25","Non Alc Bevs"
"47664","03/01/25","Drinks","Coke Regular In Can","50","1","-","50","Actual Sales","Mar-25","Non Alc Bevs"
"9984","03/01/25","Drinks","Pine Apple Juice","50","2","-","100","Actual Sales","Mar-25","Non Alc Bevs"
"9992","03/01/25","Drinks","Bottled Water","30","1","-","30","Actual Sales","Mar-25","Non Alc Bevs"
"9942","03/02/25","Drinks","Coke Regular In Can","50","1","-","50","Actual Sales","Mar-25","Non Alc Bevs"
"47686","03/04/25","Drinks","Coke Zero In Can","50","2","-","100","Actual Sales","Mar-25","Non Alc Bevs"
"37653","03/05/25","Drinks","Kopiko Lucky Day","30","2","-","60","Actual Sales","Mar-25","Non Alc Bevs"
"37677","03/05/25","Drinks","Royal In Can","50","1","-","50","Actual Sales","Mar-25","Non Alc Bevs"
"9932","03/06/25","Drinks","Coffee Jelly","100","1","-","100","Actual Sales","Mar-25","Non Alc Bevs"
"9940","03/06/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Mar-25","Non Alc Bevs"
"28941","03/06/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Mar-25","Non Alc Bevs"
"28943","03/06/25","Drinks","Coke Regular In Can","50","1","-","50","Actual Sales","Mar-25","Non Alc Bevs"
"28944","03/06/25","Drinks","Pine Apple Juice","50","1","-","50","Actual Sales","Mar-25","Non Alc Bevs"
"37698","03/07/25","Drinks","Pine Apple Juice","50","1","-","50","Actual Sales","Mar-25","Non Alc Bevs"
"37699","03/07/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Mar-25","Non Alc Bevs"
"37694","03/07/25","Drinks","Coke 1.5","110","1","-","110","Actual Sales","Mar-25","Non Alc Bevs"
"37717","03/08/25","Drinks","Pine Apple Juice","50","2","-","100","Actual Sales","Mar-25","Non Alc Bevs"
"37723","03/08/25","Drinks","Coke Zero In Can","50","1","-","50","Actual Sales","Mar-25","Non Alc Bevs"
"37727","03/08/25","Drinks","Pine Apple Juice","50","2","-","100","Actual Sales","Mar-25","Non Alc Bevs"
"37736","03/08/25","Drinks","Coke Zero In Can","50","1","-","50","Actual Sales","Mar-25","Non Alc Bevs"
"28905","03/08/25","Drinks","Kopiko Lucky Day","30","1","-","30","Actual Sales","Mar-25","Non Alc Bevs"
"28917","03/08/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Mar-25","Non Alc Bevs"
"28874","03/09/25","Drinks","Coke Zero In Can","50","1","-","50","Actual Sales","Mar-25","Non Alc Bevs"
"28874","03/09/25","Drinks","Coke Regular In Can","50","1","-","50","Actual Sales","Mar-25","Non Alc Bevs"
"28964","03/09/25","Drinks","Coffee Jelly","100","2","-","200","Actual Sales","Mar-25","Non Alc Bevs"
"6421","03/09/25","Drinks","Bottled Water","30","1","-","30","Actual Sales","Mar-25","Non Alc Bevs"
"6430","03/09/25","Drinks","Kopiko Lucky Day","30","2","-","60","Actual Sales","Mar-25","Non Alc Bevs"
"37763","03/10/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Mar-25","Non Alc Bevs"
"6400","03/11/25","Drinks","Coke Regular In Can","50","1","-","50","Actual Sales","Mar-25","Non Alc Bevs"
"6391","03/11/25","Drinks","Pine Apple Juice","50","1","-","50","Actual Sales","Mar-25","Non Alc Bevs"
"37783","03/12/25","Drinks","Bottled Water","30","1","-","30","Actual Sales","Mar-25","Non Alc Bevs"
"37788","03/12/25","Drinks","Coke Zero In Can","50","1","-","50","Actual Sales","Mar-25","Non Alc Bevs"
"37792","03/12/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Mar-25","Non Alc Bevs"
"6372","03/12/25","Drinks","Coke Zero In Can","50","1","-","50","Actual Sales","Mar-25","Non Alc Bevs"
"7157","03/13/25","Drinks","Bottled Water","30","1","-","30","Actual Sales","Mar-25","Non Alc Bevs"
"28804","03/13/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Mar-25","Non Alc Bevs"
"40598","03/14/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Mar-25","Non Alc Bevs"
"7110","03/15/25","Drinks","Coke Zero In Can","50","1","-","50","Actual Sales","Mar-25","Non Alc Bevs"
"28977","03/15/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Mar-25","Non Alc Bevs"
"28821","03/15/25","Drinks","Coke Regular In Can","50","2","-","100","Actual Sales","Mar-25","Non Alc Bevs"
"29716","03/16/25","Drinks","Coke Regular In Can","50","1","-","50","Actual Sales","Mar-25","Non Alc Bevs"
"29723","03/16/25","Drinks","Coke Regular In Can","50","1","-","50","Actual Sales","Mar-25","Non Alc Bevs"
"29724","03/16/25","Drinks","Coke Regular In Can","50","1","-","50","Actual Sales","Mar-25","Non Alc Bevs"
"6339","03/17/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Mar-25","Non Alc Bevs"
"6302","03/17/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Mar-25","Non Alc Bevs"
"29725","03/17/25","Drinks","Kopiko Lucky Day","30","1","-","30","Actual Sales","Mar-25","Non Alc Bevs"
"7149","03/18/25","Drinks","Kopiko Lucky Day","30","1","-","30","Actual Sales","Mar-25","Non Alc Bevs"
"6317","03/18/25","Drinks","Coffee Jelly","100","2","-","200","Actual Sales","Mar-25","Non Alc Bevs"
"6318","03/18/25","Drinks","Coffee Jelly","100","2","-","200","Actual Sales","Mar-25","Non Alc Bevs"
"40429","03/20/25","Drinks","Coke Regular In Can","50","2","-","100","Actual Sales","Mar-25","Non Alc Bevs"
"40435","03/20/25","Drinks","Coke Zero In Can","50","1","-","50","Actual Sales","Mar-25","Non Alc Bevs"
"40436","03/20/25","Drinks","Pine Apple Juice","50","1","-","50","Actual Sales","Mar-25","Non Alc Bevs"
"40404","03/20/25","Drinks","Coffee Jelly","100","2","-","200","Actual Sales","Mar-25","Non Alc Bevs"
"40421","03/20/25","Drinks","Bottled Water","30","1","-","30","Actual Sales","Mar-25","Non Alc Bevs"
"7164","03/21/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Mar-25","Non Alc Bevs"
"7169","03/22/25","Drinks","Coke Regular In Can","50","1","-","50","Actual Sales","Mar-25","Non Alc Bevs"
"7005","03/22/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Mar-25","Non Alc Bevs"
"37023","03/23/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Mar-25","Non Alc Bevs"
"37024","03/23/25","Drinks","Coke Regular In Can","50","1","-","50","Actual Sales","Mar-25","Non Alc Bevs"
"37024","03/23/25","Drinks","Royal In Can","50","1","-","50","Actual Sales","Mar-25","Non Alc Bevs"
"37033","03/23/25","Drinks","Coffee Jelly","100","1","-","100","Actual Sales","Mar-25","Non Alc Bevs"
"37036","03/23/25","Drinks","Coffee Jelly","100","1","-","100","Actual Sales","Mar-25","Non Alc Bevs"
"40444","03/24/25","Drinks","Coke Regular In Can","50","2","-","100","Actual Sales","Mar-25","Non Alc Bevs"
"37053","03/25/25","Drinks","Bottled Water","30","1","-","30","Actual Sales","Mar-25","Non Alc Bevs"
"37053","03/25/25","Drinks","Kopiko Lucky Day","30","1","-","30","Actual Sales","Mar-25","Non Alc Bevs"
"40454","03/25/25","Drinks","Coke Zero In Can","50","1","-","50","Actual Sales","Mar-25","Non Alc Bevs"
"36883","03/26/25","Drinks","Coke Regular In Can","50","1","-","50","Actual Sales","Mar-25","Non Alc Bevs"
"36901","03/27/25","Drinks","Coke Regular In Can","50","1","-","50","Actual Sales","Mar-25","Non Alc Bevs"
"36725","03/28/25","Drinks","Coke Regular In Can","50","2","-","100","Actual Sales","Mar-25","Non Alc Bevs"
"36730","03/28/25","Drinks","Pine Apple Juice","50","1","-","50","Actual Sales","Mar-25","Non Alc Bevs"
"36744","03/28/25","Drinks","Kopiko Lucky Day","30","1","-","30","Actual Sales","Mar-25","Non Alc Bevs"
"36740","03/28/25","Drinks","Sprite In Can","50","1","-","50","Actual Sales","Mar-25","Non Alc Bevs"
"36970","03/29/25","Drinks","Coffee Jelly","100","1","-","100","Actual Sales","Mar-25","Non Alc Bevs"
"36971","03/29/25","Drinks","Coffee Jelly","100","1","-","100","Actual Sales","Mar-25","Non Alc Bevs"
"36972","03/29/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Mar-25","Non Alc Bevs"
"36985","03/30/25","Drinks","Kopiko Lucky Day","30","1","-","30","Actual Sales","Mar-25","Non Alc Bevs"
"36787","03/31/25","Drinks","Bottled Water","30","1","-","30","Actual Sales","Mar-25","Non Alc Bevs"
"36788","03/31/25","Drinks","Coke Regular In Can","50","2","-","100","Actual Sales","Mar-25","Non Alc Bevs"
"36792","03/31/25","Drinks","Coke Regular In Can","50","2","-","100","Actual Sales","Mar-25","Non Alc Bevs"
"36796","03/31/25","Drinks","Coke Regular In Can","50","1","-","50","Actual Sales","Mar-25","Non Alc Bevs"
"36803","03/31/25","Drinks","Coffee Jelly","100","1","-","100","Actual Sales","Mar-25","Non Alc Bevs"
"36804","03/31/25","Drinks","Coffee Jelly","100","1","-","100","Actual Sales","Mar-25","Non Alc Bevs"
"40391","04/01/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Mar-25","Non Alc Bevs"
"40394","04/01/25","Drinks","Coffee Jelly","100","1","-","100","Actual Sales","Mar-25","Non Alc Bevs"
"40395","04/01/25","Drinks","Coffee Jelly","100","1","-","100","Actual Sales","Mar-25","Non Alc Bevs"
"23511","04/02/25","Drinks","Pine Apple Juice","50","1","-","50","Actual Sales","Mar-25","Non Alc Bevs"
"23511","04/02/25","Drinks","Coke Zero In Can","50","1","-","50","Actual Sales","Mar-25","Non Alc Bevs"
"23501","04/02/25","Drinks","Coke Regular In Can","50","1","-","50","Actual Sales","Mar-25","Non Alc Bevs"
"23504","04/02/25","Drinks","Coke Regular In Can","50","2","-","100","Actual Sales","Mar-25","Non Alc Bevs"
"23507","04/02/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Mar-25","Non Alc Bevs"
"36827","04/03/25","Drinks","Coke Regular In Can","50","1","-","50","Actual Sales","Mar-25","Non Alc Bevs"
"36836","04/03/25","Drinks","Coke Zero In Can","50","1","-","50","Actual Sales","Mar-25","Non Alc Bevs"
"18383","04/03/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Mar-25","Non Alc Bevs"
"14704","04/04/25","Drinks","Pine Apple Juice","50","1","-","50","Actual Sales","Apr-25","Non Alc Bevs"
"14707","04/04/25","Drinks","Kopiko Lucky Day","30","1","-","30","Actual Sales","Apr-25","Non Alc Bevs"
"14709","04/04/25","Drinks","Pine Apple Juice","50","1","-","50","Actual Sales","Apr-25","Non Alc Bevs"
"14712","04/04/25","Drinks","Pine Apple Juice","50","1","-","50","Actual Sales","Apr-25","Non Alc Bevs"
"23543","04/04/25","Drinks","Pine Apple Juice","50","1","-","50","Actual Sales","Apr-25","Non Alc Bevs"
"14672","04/05/25","Drinks","Kopiko Lucky Day","30","1","-","30","Actual Sales","Apr-25","Non Alc Bevs"
"23523","04/05/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Apr-25","Non Alc Bevs"
"14675","04/05/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Apr-25","Non Alc Bevs"
"14675","04/05/25","Drinks","Royal In Can","50","1","-","50","Actual Sales","Apr-25","Non Alc Bevs"
"23481","04/06/25","Drinks","Coke Regular In Can","50","1","-","50","Actual Sales","Apr-25","Non Alc Bevs"
"23469","04/07/25","Drinks","Coke Regular In Can","50","1","-","50","Actual Sales","Apr-25","Non Alc Bevs"
"23476","04/07/25","Drinks","Coke Zero In Can","50","1","-","50","Actual Sales","Apr-25","Non Alc Bevs"
"23443","04/09/25","Drinks","Coke Zero In Can","50","1","-","50","Actual Sales","Apr-25","Non Alc Bevs"
"23456","04/09/25","Drinks","Coke Zero In Can","50","1","-","50","Actual Sales","Apr-25","Non Alc Bevs"
"23459","04/09/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Apr-25","Non Alc Bevs"
"18330","04/10/25","Drinks","Coke Zero In Can","50","2","-","100","Actual Sales","Apr-25","Non Alc Bevs"
"14736","04/12/25","Drinks","Coke Regular In Can","50","3","-","150","Actual Sales","Apr-25","Non Alc Bevs"
"14737","04/12/25","Drinks","Coke Regular In Can","50","1","-","50","Actual Sales","Apr-25","Non Alc Bevs"
"28393","04/13/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Apr-25","Non Alc Bevs"
"18250","04/14/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Apr-25","Non Alc Bevs"
"488018","04/16/25","Drinks","Kopiko Lucky Day","30","2","-","60","Actual Sales","Apr-25","Non Alc Bevs"
"22219","04/19/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Apr-25","Non Alc Bevs"
"14776","04/19/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Apr-25","Non Alc Bevs"
"22258","04/20/25","Drinks","Royal In Can","50","1","-","50","Actual Sales","Apr-25","Non Alc Bevs"
"28397","04/20/25","Drinks","Coke Regular In Can","50","1","-","50","Actual Sales","Apr-25","Non Alc Bevs"
"28368","04/20/25","Drinks","Bottled Water","30","1","-","30","Actual Sales","Apr-25","Non Alc Bevs"
"14653","04/21/25","Drinks","Bottled Water","30","2","-","60","Actual Sales","Apr-25","Non Alc Bevs"
"14657","04/21/25","Drinks","Coke Zero In Can","50","2","-","100","Actual Sales","Apr-25","Non Alc Bevs"
"22274","04/22/25","Drinks","Bottled Water","30","1","-","30","Actual Sales","Apr-25","Non Alc Bevs"
"22275","04/22/25","Drinks","Bottled Water","30","1","-","30","Actual Sales","Apr-25","Non Alc Bevs"
"22278","04/22/25","Drinks","Coke Mismo","30","2","-","60","Actual Sales","Apr-25","Non Alc Bevs"
"22280","04/22/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Apr-25","Non Alc Bevs"
"22281","04/22/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Apr-25","Non Alc Bevs"
"28357","04/22/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Apr-25","Non Alc Bevs"
"28349","04/22/25","Drinks","Coke Mismo","30","2","-","60","Actual Sales","Apr-25","Non Alc Bevs"
"28303","04/23/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Apr-25","Non Alc Bevs"
"28305","04/23/25","Drinks","Pine Apple Juice","50","2","-","100","Actual Sales","Apr-25","Non Alc Bevs"
"28305","04/23/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Apr-25","Non Alc Bevs"
"14639","04/23/25","Drinks","Coke Regular In Can","50","1","-","50","Actual Sales","Apr-25","Non Alc Bevs"
"14794","04/23/25","Drinks","Bottled Water","30","1","-","30","Actual Sales","Apr-25","Non Alc Bevs"
"28246","04/24/25","Drinks","Coke Zero In Can","50","1","-","50","Actual Sales","Apr-25","Non Alc Bevs"
"22297","04/24/25","Drinks","Bottled Water","30","1","-","30","Actual Sales","Apr-25","Non Alc Bevs"
"28339","04/25/25","Drinks","Coke Regular In Can","50","1","-","50","Payments","Apr-25","Non Alc Bevs"
"28339","04/25/25","Drinks","Pine Apple Juice","50","1","-","50","Payments","Apr-25","Non Alc Bevs"
"28292","04/25/25","Drinks","Pine Apple Juice","50","2","-","100","Payments","Apr-25","Non Alc Bevs"
"28292","04/25/25","Drinks","Coke Regular In Can","50","1","-","50","Payments","Apr-25","Non Alc Bevs"
"28253","04/25/25","Drinks","Pine Apple Juice","50","2","-","100","Actual Sales","Apr-25","Non Alc Bevs"
"28253","04/25/25","Drinks","Coke Regular In Can","50","1","-","50","Actual Sales","Apr-25","Non Alc Bevs"
"14609","04/25/25","Drinks","Coke Mismo","30","2","-","60","Actual Sales","Apr-25","Non Alc Bevs"
"14683","04/25/25","Drinks","Bottled Water","30","1","-","30","Actual Sales","Apr-25","Non Alc Bevs"
"14689","04/25/25","Drinks","Bottled Water","30","1","-","30","Actual Sales","Apr-25","Non Alc Bevs"
"14606","04/25/25","Drinks","Bottled Water","30","1","-","30","Actual Sales","Apr-25","Non Alc Bevs"
"33582","04/26/25","Drinks","Coke 1.5","130","1","-","130","Actual Sales","Apr-25","Non Alc Bevs"
"33414","04/26/25","Drinks","Bottled Water","30","1","-","30","Actual Sales","Apr-25","Non Alc Bevs"
"33418","04/26/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Apr-25","Non Alc Bevs"
"33413","04/26/25","Drinks","Coke 1.5","130","1","-","130","Actual Sales","Apr-25","Non Alc Bevs"
"33583","04/26/25","Drinks","Bottled Water","30","1","-","30","Actual Sales","Apr-25","Non Alc Bevs"
"22366","04/27/25","Drinks","Bottled Water","30","1","-","30","Actual Sales","Apr-25","Non Alc Bevs"
"71","04/28/25","Drinks","Coke 1.5","130","1","-","130","Actual Sales","Apr-25","Non Alc Bevs"
"61","04/28/25","Drinks","Coke Mismo","30","1","-","30","Actual Sales","Apr-25","Non Alc Bevs"
"80","04/28/25","Drinks","Coke Zero In Can","50","1","-","50","Actual Sales","Apr-25","Non Alc Bevs"
"80","04/28/25","Drinks","Royal In Can","50","1","-","50","Actual Sales","Apr-25","Non Alc Bevs"
